epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,331.115,0.99499,1.13946,1.53649,0.75978,0.83324,0.89567,0.74975,0.7894,1.28656,1.44858,0.0008045,0.0008045,0.0008045
74,335.416,0.95393,1.12146,1.48314,0.86756,0.79363,0.92219,0.78179,0.78603,1.17202,1.39902,0.000798313,0.000798313,0.000798313
75,339.674,0.99868,1.13098,1.50849,0.85508,0.78745,0.90598,0.79365,0.68231,1.10526,1.32135,0.000792125,0.000792125,0.000792125
76,343.926,0.91647,1.08273,1.45228,0.86386,0.78372,0.92877,0.78341,0.7933,1.03938,1.3356,0.000785938,0.000785938,0.000785938
77,348.197,0.92368,1.11271,1.47627,0.87362,0.84374,0.93351,0.73037,0.9216,1.01534,1.42096,0.00077975,0.00077975,0.00077975
78,352.415,0.98092,1.08192,1.48286,0.81336,0.91007,0.93538,0.76638,0.75417,0.95088,1.31309,0.000773563,0.000773563,0.000773563
79,356.69,0.9706,1.09646,1.49129,0.82687,0.91323,0.94124,0.81854,0.70345,0.92519,1.28491,0.000767375,0.000767375,0.000767375
80,360.952,0.90184,1.06289,1.41538,0.90658,0.86899,0.93237,0.81224,0.66494,0.941,1.28363,0.000761188,0.000761188,0.000761188
81,365.237,0.92697,1.05792,1.44202,0.89092,0.84582,0.91693,0.7685,0.76968,1.01168,1.33192,0.000755,0.000755,0.000755
82,369.435,0.92721,1.05082,1.46837,0.88523,0.81477,0.90613,0.78377,0.71561,1.00105,1.30604,0.000748813,0.000748813,0.000748813
83,373.747,0.92299,1.04061,1.44458,0.62454,0.72887,0.77471,0.65417,0.68318,1.64811,1.31988,0.000742625,0.000742625,0.000742625
84,378.016,0.88341,1.02858,1.46436,0.53961,0.51042,0.5852,0.43289,0.92418,2.37421,1.48022,0.000736438,0.000736438,0.000736438
85,382.281,0.92934,1.01226,1.41658,0.74188,0.92868,0.89046,0.75302,0.68186,1.12812,1.35943,0.00073025,0.00073025,0.00073025
86,386.547,0.91015,1.03083,1.43962,0.78796,0.89567,0.89262,0.73442,0.74233,1.04713,1.36913,0.000724062,0.000724062,0.000724062
87,391.013,0.91772,1.06761,1.4209,0.78591,0.89837,0.9209,0.77927,0.68629,0.9383,1.32809,0.000717875,0.000717875,0.000717875
88,395.374,0.85806,0.9632,1.41065,0.80017,0.90608,0.91993,0.79086,0.63443,0.92929,1.29487,0.000711687,0.000711687,0.000711687
89,399.726,0.86898,1.00133,1.38702,0.88647,0.84019,0.93528,0.83285,0.6298,0.93209,1.2885,0.0007055,0.0007055,0.0007055
