epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,585.699,0.75409,0.79191,1.32873,0.87544,0.89837,0.97251,0.89289,0.56487,0.67447,1.1287,0.000618875,0.000618875,0.000618875
104,591.661,0.72204,0.73933,1.29546,0.90959,0.8807,0.97303,0.87874,0.62969,0.66758,1.1481,0.000612687,0.000612687,0.000612687
105,597.506,0.75819,0.79304,1.35703,0.94735,0.95162,0.9817,0.8933,0.61112,0.64674,1.12058,0.0006065,0.0006065,0.0006065
106,603.324,0.7305,0.76592,1.29885,0.89188,0.90904,0.9556,0.87101,0.61597,0.64531,1.13993,0.000600313,0.000600313,0.000600313
107,609.115,0.76039,0.77727,1.33438,0.90759,0.91816,0.97706,0.87774,0.61014,0.58132,1.12847,0.000594125,0.000594125,0.000594125
108,614.861,0.7554,0.77226,1.31678,0.88768,0.9066,0.97594,0.88671,0.5842,0.69573,1.11878,0.000587938,0.000587938,0.000587938
109,620.526,0.71532,0.75081,1.31664,0.91049,0.92158,0.96894,0.87446,0.60277,0.66534,1.11752,0.00058175,0.00058175,0.00058175
110,626.213,0.71571,0.75467,1.32963,0.89338,0.8813,0.95184,0.8913,0.50321,0.68911,1.04885,0.000575563,0.000575563,0.000575563
111,631.849,0.70421,0.73969,1.28467,0.95744,0.9476,0.98212,0.90986,0.55644,0.58075,1.08054,0.000569375,0.000569375,0.000569375
112,637.519,0.68379,0.70311,1.27438,0.90704,0.88553,0.96382,0.84921,0.64342,0.80828,1.11723,0.000563187,0.000563187,0.000563187
113,643.176,0.70631,0.718,1.28005,0.90688,0.90201,0.96078,0.86641,0.57759,0.63653,1.09087,0.000557,0.000557,0.000557
114,648.804,0.73452,0.71885,1.29181,0.9023,0.87089,0.92893,0.84114,0.58314,0.73691,1.08023,0.000550813,0.000550813,0.000550813
115,654.511,0.67904,0.72238,1.2696,0.89938,0.88856,0.96465,0.8781,0.54859,0.74756,1.10537,0.000544625,0.000544625,0.000544625
116,660.194,0.69724,0.70878,1.27607,0.94961,0.90716,0.9795,0.85677,0.61917,0.65555,1.09732,0.000538438,0.000538438,0.000538438
117,665.867,0.7098,0.7122,1.26581,0.97494,0.95364,0.98908,0.91758,0.55829,0.59619,1.07011,0.00053225,0.00053225,0.00053225
118,671.556,0.70386,0.7298,1.29377,0.98054,0.931,0.983,0.89675,0.58804,0.62092,1.0967,0.000526063,0.000526063,0.000526063
119,677.265,0.69278,0.68775,1.27484,0.90779,0.93734,0.97551,0.89481,0.55537,0.72978,1.11261,0.000519875,0.000519875,0.000519875
120,682.983,0.671,0.69434,1.2651,0.89164,0.92099,0.97903,0.87907,0.60311,0.7737,1.11317,0.000513688,0.000513688,0.000513688
121,688.671,0.65997,0.66682,1.25314,0.87137,0.9065,0.9662,0.88061,0.56226,0.83888,1.08436,0.0005075,0.0005075,0.0005075
122,694.403,0.68883,0.70285,1.26487,0.95677,0.92956,0.98406,0.90841,0.53405,0.61551,1.06586,0.000501313,0.000501313,0.000501313
123,700.076,0.66371,0.67814,1.24926,0.95576,0.94,0.98372,0.90035,0.5221,0.64049,1.04675,0.000495125,0.000495125,0.000495125
124,705.811,0.70166,0.70312,1.26688,0.93351,0.92634,0.97865,0.89695,0.53922,0.72221,1.06772,0.000488938,0.000488938,0.000488938
125,711.596,0.68142,0.70741,1.2568,0.75567,0.80472,0.82925,0.75957,0.55694,1.2826,1.09702,0.00048275,0.00048275,0.00048275
126,717.287,0.6504,0.67938,1.24864,0.94991,0.92698,0.97815,0.89069,0.5447,0.57653,1.06727,0.000476562,0.000476562,0.000476562
127,722.991,0.66245,0.66776,1.26088,0.91388,0.88165,0.97679,0.90875,0.57978,0.66838,1.09661,0.000470375,0.000470375,0.000470375
128,728.638,0.66835,0.68499,1.25658,0.96233,0.90336,0.97594,0.90905,0.47281,0.64707,1.03772,0.000464188,0.000464188,0.000464188
129,734.282,0.68555,0.67966,1.24884,0.90879,0.92866,0.98132,0.89373,0.51128,0.67353,1.05341,0.000458,0.000458,0.000458
130,740.044,0.6627,0.6755,1.24326,0.94571,0.93883,0.98618,0.9141,0.49847,0.5868,1.03245,0.000451813,0.000451813,0.000451813
131,745.684,0.67714,0.70194,1.26922,0.84909,0.94817,0.97699,0.91289,0.51029,0.64263,1.05433,0.000445625,0.000445625,0.000445625
132,751.432,0.65899,0.64663,1.2465,0.93921,0.94555,0.97921,0.9126,0.50405,0.61846,1.03696,0.000439437,0.000439437,0.000439437
133,757.017,0.61371,0.61221,1.22588,0.95938,0.95419,0.98526,0.9193,0.51804,0.57295,1.04584,0.00043325,0.00043325,0.00043325
134,762.621,0.64471,0.62697,1.23706,0.96326,0.9336,0.98509,0.92316,0.51993,0.58552,1.032,0.000427062,0.000427062,0.000427062
135,768.199,0.61255,0.63261,1.19292,0.93225,0.9475,0.98666,0.91624,0.50532,0.56042,1.03151,0.000420875,0.000420875,0.000420875
136,773.948,0.67119,0.68731,1.26445,0.95428,0.94857,0.98865,0.9132,0.49718,0.57274,1.04604,0.000414688,0.000414688,0.000414688
137,779.792,0.63511,0.6739,1.25758,0.96738,0.9371,0.98698,0.90067,0.5212,0.614,1.06595,0.0004085,0.0004085,0.0004085
138,785.699,0.66241,0.64811,1.25251,0.95897,0.94765,0.98768,0.93897,0.45683,0.57949,1.00555,0.000402312,0.000402312,0.000402312
139,791.571,0.63204,0.66719,1.24752,0.95671,0.94477,0.98501,0.93146,0.43696,0.59972,0.99215,0.000396125,0.000396125,0.000396125
140,797.454,0.62376,0.59116,1.23513,0.91442,0.93609,0.98302,0.90317,0.49173,0.6939,1.05362,0.000389938,0.000389938,0.000389938
141,803.346,0.66491,0.65715,1.23736,0.92241,0.94073,0.98689,0.93312,0.5099,0.64359,1.05889,0.00038375,0.00038375,0.00038375
142,809.202,0.68959,0.71906,1.25961,0.94888,0.9648,0.98962,0.92276,0.53387,0.52685,1.05669,0.000377563,0.000377563,0.000377563
143,815.029,0.62198,0.6406,1.21938,0.97247,0.95999,0.98917,0.93027,0.45553,0.52147,1.00518,0.000371375,0.000371375,0.000371375
144,820.586,0.61445,0.61715,1.21415,0.97088,0.95349,0.9894,0.92136,0.4586,0.49786,1.01496,0.000365188,0.000365188,0.000365188
145,826.137,0.60807,0.62949,1.20234,0.95897,0.95846,0.98838,0.92543,0.47827,0.50812,1.0168,0.000359,0.000359,0.000359
146,831.698,0.5982,0.60922,1.19142,0.90447,0.92887,0.98256,0.91376,0.55998,0.78879,1.06304,0.000352812,0.000352812,0.000352812
147,837.236,0.59169,0.60643,1.19853,0.89617,0.94235,0.98011,0.92675,0.54112,0.83553,1.07229,0.000346625,0.000346625,0.000346625
148,842.849,0.6395,0.64663,1.22043,0.94724,0.93308,0.98628,0.91482,0.55274,0.67781,1.07607,0.000340438,0.000340438,0.000340438
149,848.443,0.61496,0.63508,1.20492,0.96679,0.95081,0.98676,0.9124,0.53107,0.5565,1.0505,0.00033425,0.00033425,0.00033425
150,854.051,0.64984,0.62821,1.25963,0.96133,0.92956,0.98285,0.9126,0.52682,0.54017,1.03235,0.000328063,0.000328063,0.000328063
151,859.7,0.62634,0.60853,1.20603,0.97258,0.94865,0.98043,0.91318,0.50354,0.55923,1.0463,0.000321875,0.000321875,0.000321875
152,865.437,0.61704,0.58154,1.21222,0.97383,0.95026,0.98669,0.92071,0.49418,0.51957,1.04074,0.000315687,0.000315687,0.000315687
153,871.09,0.63232,0.62122,1.22976,0.97315,0.94253,0.98965,0.91573,0.50552,0.49625,1.03814,0.0003095,0.0003095,0.0003095
154,876.698,0.60417,0.63237,1.18932,0.97375,0.93915,0.98937,0.92305,0.48122,0.52147,1.0221,0.000303313,0.000303313,0.000303313
155,882.311,0.63193,0.63084,1.19544,0.96789,0.94566,0.9869,0.92706,0.45677,0.55873,0.99865,0.000297125,0.000297125,0.000297125
156,888.086,0.62061,0.62786,1.2316,0.98315,0.92015,0.98813,0.92479,0.4612,0.55342,1.0047,0.000290937,0.000290937,0.000290937
157,893.853,0.6162,0.59373,1.19036,0.9484,0.92576,0.98753,0.92154,0.45498,0.56971,1.00233,0.00028475,0.00028475,0.00028475
158,899.665,0.636,0.65757,1.21779,0.95808,0.94179,0.98823,0.94157,0.44497,0.50983,0.99979,0.000278562,0.000278562,0.000278562
159,905.578,0.61515,0.60129,1.19798,0.8965,0.95148,0.98615,0.93333,0.47696,0.62411,1.0035,0.000272375,0.000272375,0.000272375
160,911.557,0.60039,0.59117,1.20457,0.95695,0.95356,0.98956,0.9388,0.46971,0.52329,1.0061,0.000266187,0.000266187,0.000266187
161,917.48,0.59548,0.59371,1.19751,0.98317,0.93569,0.98995,0.92115,0.46589,0.50697,0.99424,0.00026,0.00026,0.00026
162,923.387,0.58756,0.62061,1.18549,0.97822,0.89852,0.9897,0.9179,0.4976,0.57684,1.00538,0.000253812,0.000253812,0.000253812
163,929.312,0.58351,0.60486,1.17142,0.95485,0.94514,0.98807,0.94248,0.48706,0.54533,1.01461,0.000247625,0.000247625,0.000247625
164,935.304,0.5859,0.58552,1.17651,0.97201,0.94482,0.98824,0.9435,0.48683,0.52762,1.024,0.000241438,0.000241438,0.000241438
165,941.172,0.56942,0.5646,1.17457,0.9603,0.92182,0.98976,0.94983,0.46392,0.55084,1.01697,0.00023525,0.00023525,0.00023525
166,946.845,0.5847,0.57848,1.15815,0.93738,0.90126,0.98825,0.94367,0.44054,0.58038,0.98774,0.000229063,0.000229063,0.000229063
167,952.479,0.59578,0.58292,1.20862,0.97528,0.91625,0.98932,0.94739,0.44179,0.51915,0.9898,0.000222875,0.000222875,0.000222875
168,958.201,0.56313,0.55488,1.14641,0.95237,0.96855,0.98884,0.93476,0.45341,0.49132,0.98917,0.000216688,0.000216688,0.000216688
169,963.806,0.5686,0.56761,1.16816,0.95755,0.97283,0.99058,0.9385,0.4592,0.5024,0.99354,0.0002105,0.0002105,0.0002105
170,969.431,0.54745,0.54616,1.15803,0.947,0.95684,0.98982,0.94113,0.47159,0.51762,0.99541,0.000204313,0.000204313,0.000204313
171,975.196,0.57279,0.58221,1.16761,0.95977,0.93356,0.98948,0.92169,0.45682,0.53307,0.99734,0.000198125,0.000198125,0.000198125
172,981.249,0.59588,0.55843,1.20082,0.9587,0.92956,0.99021,0.94404,0.44939,0.52695,0.99567,0.000191938,0.000191938,0.000191938
173,987.357,0.58358,0.54022,1.1701,0.96634,0.93734,0.99054,0.9332,0.47417,0.49135,1.00009,0.00018575,0.00018575,0.00018575
